feature_1,feature_2,screen_gain,anova_energy,component_std,model_kernel_curvature,laplacian_energy,kernel_states,kernel_rank
Latitude,Longitude,0.0130877099376175,0.002710462429879664,0.05206210166598794,0.017559335587555156,5.1736876168724976e-05,2798,96
AveRooms,AveOccup,0.0006141366385843,0.0007568429704534063,0.02751077916841699,0.06318553568112985,5.148306478772086e-05,3967,96
MedInc,Longitude,0.0008254755351691,0.0004590081509377145,0.02142447551137984,0.03782769617773533,1.856033551859689e-05,3920,96
MedInc,AveOccup,0.0007011372571234,0.00034572339799940696,0.01859363864334808,0.1135308883918941,4.268476735034427e-05,3984,96
MedInc,Latitude,0.0007152646843975,0.00022704740975457667,0.015068092439143605,0.049650280442824817,1.2078035696308963e-05,3875,96
HouseAge,AveOccup,0.0014073358417109,0.00011160283609976652,0.010564224349178057,0.02691545701190216,3.177237335497623e-06,3205,96
AveOccup,Latitude,0.0009332829472741,1.2681407323867346e-05,0.003561096365428398,0.08003515799839367,1.0493528129527327e-06,3857,96
AveOccup,Longitude,0.0016854573206183,1.0934351413198573e-06,0.0010456744910916863,0.15369089466247474,1.6704212899955032e-07,3892,96
