feature,anova_energy,component_std,model_kernel_curvature,laplacian_energy,kernel_states
Latitude,0.046381489149970964,0.2153636207672293,0.009185718413800953,0.00047862117483195505,208
Longitude,0.03841198181478334,0.19598974925945323,0.011394995158840111,0.0004907731375003666,236
MedInc,0.029223119103089844,0.170947708680432,0.004113862571408548,0.00013090245135323773,256
AveOccup,0.005611734791893728,0.07491151307972445,0.01176860829474065,7.077162461521977e-05,256
AveRooms,0.0013489063008944036,0.036727459766425496,0.045550640586902766,6.625046174054817e-05,256
AveBedrms,0.00033400203323793917,0.01827572250932748,0.04587625996203526,0.00012185549950460153,221
HouseAge,0.000140204922916438,0.01184081597342168,0.10974525457466247,2.7190905609652663e-05,51
Population,9.327077733986775e-05,0.009657679707873302,0.042248863804469024,4.8852690352188835e-06,202
