feature_1,feature_2,screen_gain,anova_energy,component_std,model_kernel_curvature,laplacian_energy,kernel_states,kernel_rank
hr,weekday,0.03810978576058,0.09175536616095895,0.30291148238546345,0.1050446084352016,0.00999942931883559,168,96
hr,workingday,0.0515409171871453,0.024126165016178862,0.15532599594459023,0.2401868321159538,0.008011703760446959,48,48
temp,hum,0.0012412700638035,0.0044146680292021885,0.06644296824497073,0.08136436068156044,0.000559248940495997,748,96
weathersit,hum,0.0013614650080028,0.0027883507106760434,0.05280483605386957,0.042583307084440115,0.00019011618186474906,190,96
hr,hum,0.0027780146321698,0.002005547009826262,0.04478333406331268,0.07561356659583456,0.00015919187889330228,1263,96
hr,yr,0.0011048231535319,0.0015737690541021594,0.03967075817402737,0.4536247071964731,0.0007754859745488562,48,48
hr,holiday,0.0039955771489997,0.001470087459724135,0.03834171957182066,0.014301269932068537,0.00038954988027349005,47,25
hr,weathersit,0.0022940917629142,0.0003668918206108688,0.019154420393498437,0.11281991276025721,0.00014550039002701512,73,73
